,Property Type,Price,Address,Locality,Beds,Baths,Home Size,Lot Size,Garage,Link,Construction
1569,House for Sale,"$325,000",8708 Western Sun Way,"Sacramento, CA 95828",3 bed,2 bath,"1,420 sqft","6,120 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/8708-Western-Sun-Way_Sacramento_CA_95828_M10673-64693,
1570,Multi-Family Home,"$459,500",1637 Kathleen Ave,"Sacramento, CA 95815",4 bed,4 bath,"2,400 sqft",0.34 acres lot,NOT LISTED,https://www.realtor.com/realestateandhomes-detail/1637-Kathleen-Ave_Sacramento_CA_95815_M17394-54101,
1571,House for Sale,"$285,000",7458 19th St,"Sacramento, CA 95822",3 bed,2 bath,"1,450 sqft","6,098 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/7458-19th-St_Sacramento_CA_95822_M23435-93756,
1572,House for Sale,"$314,900",8316 Summer Sunset Dr,"Sacramento, CA 95828",3 bed,2 bath,"1,215 sqft","6,098 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/8316-Summer-Sunset-Dr_Sacramento_CA_95828_M11284-80839,
1573,House for Sale,"$275,000",8208 S Country Way,"Sacramento, CA 95828",2 bed,2 bath,900 sqft,"5,911 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/8208-S-Country-Way_Sacramento_CA_95828_M10241-73466,
1574,House for Sale,"$235,000",3601 Pinell St,"Sacramento, CA 95838",2 bed,1 bath,889 sqft,"6,098 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/3601-Pinell-St_Sacramento_CA_95838_M20478-97949,
1575,House for Sale,"$248,888",7205 Old Nave Ct,"Sacramento, CA 95842",2 bed,2 bath,886 sqft,"6,098 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/7205-Old-Nave-Ct_Sacramento_CA_95842_M26383-62286,
1576,House for Sale,"$230,000",715 Acacia Ave,"Sacramento, CA 95815",3 bed,2 bath,936 sqft,"6,534 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/715-Acacia-Ave_Sacramento_CA_95815_M28261-59892,
1577,House for Sale,"$245,000",4301 38th Ave,"Sacramento, CA 95824",3 bed,1 bath,"1,053 sqft","7,405 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/4301-38th-Ave_Sacramento_CA_95824_M23509-09254,
1578,House for Sale,"$255,000",4660 Underwood Way,"Sacramento, CA 95823",3 bed,1 bath,"1,066 sqft","6,970 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/4660-Underwood-Way_Sacramento_CA_95823_M18823-53186,
1579,House for Sale,"$299,900",7561 Tamoshanter Way,"Sacramento, CA 95822",3 bed,2 bath,"1,365 sqft","8,276 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/7561-Tamoshanter-Way_Sacramento_CA_95822_M21973-48411,
1580,House for Sale,"$325,000",2843 Belgrade Way,"Sacramento, CA 95833",3 bed,2 bath,"1,390 sqft","5,663 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/2843-Belgrade-Way_Sacramento_CA_95833_M28028-31412,
1581,Multi-Family Home,"$315,000",6773 21st St,"Sacramento, CA 95822",4 bed,2 bath,"1,534 sqft","6,970 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/6773-21st-St_Sacramento_CA_95822_M27091-15819,
1582,House for Sale,"$432,190",3600 Rynders Way,"Sacramento, CA 95835",4 bed,3 bath,"2,235 sqft","7,226 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/3600-Rynders-Way_Sacramento_CA_95835_M23247-44740,NEW CONSTRUCTION
1583,Land,"$900,000",115004-00800000 Lakewood Road-Pheasant Est,"Sacramento, CA 95828",NOT LISTED,NOT LISTED,NOT LISTED,3.79 acres lot,NOT LISTED,https://www.realtor.com/realestateandhomes-detail/Lakewood-Rd_Sacramento_CA_95828_M19236-41434,
1584,House for Sale,"$1,890,000",1318 44th St,"Sacramento, CA 95819",3 bed,2.5 bath,"3,287 sqft","9,034 sqft lot",NOT LISTED,https://www.realtor.com/realestateandhomes-detail/1318-44th-St_Sacramento_CA_95819_M23158-53374,
1585,House for Sale,"$675,000",1601 Cordano Way,"Sacramento, CA 95818",3 bed,3 bath,"2,046 sqft","6,534 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/1601-Cordano-Way_Sacramento_CA_95818_M27699-76149,
1586,House for Sale,"$520,000",4560 Windsong St,"Sacramento, CA 95834",4 bed,3 bath,"3,446 sqft","7,148 sqft lot",3 car,https://www.realtor.com/realestateandhomes-detail/4560-Windsong-St_Sacramento_CA_95834_M17442-84092,
1587,House for Sale,"$525,000",2507 Heritage Park Ln,"Sacramento, CA 95835",2 bed,2.5 bath,"2,356 sqft","7,148 sqft lot",3 car,https://www.realtor.com/realestateandhomes-detail/2507-Heritage-Park-Ln_Sacramento_CA_95835_M26097-62372,
1588,House for Sale,"$575,000",2680 Curtis Way,"Sacramento, CA 95818",3 bed,2 bath,"1,752 sqft","4,792 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/2680-Curtis-Way_Sacramento_CA_95818_M29284-68202,
1589,House for Sale,"$225,000",5323 48th Ave,"Sacramento, CA 95823",3 bed,2 bath,"1,220 sqft","8,276 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/5323-48th-Ave_Sacramento_CA_95823_M18471-36870?ex=CA2438590909,
1590,House for Sale,"$470,000",2950 Muskrat Way,"Sacramento, CA 95834",5 bed,2 bath,"2,954 sqft","6,186 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/2950-Muskrat-Way_Sacramento_CA_95834_M25914-00075,
1591,House for Sale,"$445,000",10181 Azinger Way,"Sacramento, CA 95829",4 bed,2 bath,"1,878 sqft","7,645 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/10181-Azinger-Way_Sacramento_CA_95829_M18981-05887,
1592,House for Sale,"$550,000",744 Riverlake Way,"Sacramento, CA 95831",4 bed,3 bath,"2,592 sqft","8,002 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/744-Riverlake-Way_Sacramento_CA_95831_M27651-94736,
1593,House for Sale,"$360,000",6068 Bridgecross Dr,"Sacramento, CA 95835",2 bed,2 bath,"1,492 sqft","3,999 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/6068-Bridgecross-Dr_Sacramento_CA_95835_M27268-88709,
1594,House for Sale,"$669,000",5001 E St,"Sacramento, CA 95819",3 bed,2 bath,"1,579 sqft","7,340 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/5001-E-St_Sacramento_CA_95819_M19779-25807,
1595,House for Sale,"$479,990",8845 Dorado Bay Ct,"Sacramento, CA 95828",5 bed,3 bath,"3,753 sqft","7,044 sqft lot",3 car,https://www.realtor.com/realestateandhomes-detail/8845-Dorado-Bay-Ct_Sacramento_CA_95828_M13153-45267,
1596,House for Sale,"$317,000",4400 Frizell Ave,"Sacramento, CA 95842",3 bed,2 bath,"1,261 sqft",0.26 acres lot,2 car,https://www.realtor.com/realestateandhomes-detail/4400-Frizell-Ave_Sacramento_CA_95842_M17373-72222,
1597,House for Sale,"$260,000",10021 Lincoln Village Dr,"Sacramento, CA 95827",3 bed,2 bath,"1,249 sqft","7,405 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/10021-Lincoln-Village-Dr_Sacramento_CA_95827_M13300-86439,
1598,House for Sale,"$640,000",840 Skipper Cir,"Sacramento, CA 95822",3 bed,2 bath,"1,554 sqft",0.33 acres lot,2 car,https://www.realtor.com/realestateandhomes-detail/840-Skipper-Cir_Sacramento_CA_95822_M20897-49528,
1599,House for Sale,"$342,995",8109 Simi Ct,"Sacramento, CA 95828",3 bed,2 bath,"1,477 sqft","5,645 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/8109-Simi-Ct_Sacramento_CA_95828_M12430-73612,
1600,House for Sale,"$220,000",2924 Northgate Blvd,"Sacramento, CA 95833",2 bed,1 bath,858 sqft,"9,287 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/2924-Northgate-Blvd_Sacramento_CA_95833_M27286-72186,
1601,House for Sale,"$475,000",681 Southgate Rd,"Sacramento, CA 95815",4 bed,2 bath,"1,726 sqft","6,970 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/681-Southgate-Rd_Sacramento_CA_95815_M14379-54895,
1602,Condo/Townhome,"$289,900",1900 Danbrook Dr Unit 1527,"Sacramento, CA 95835",2 bed,2 bath,"1,338 sqft",NOT LISTED,1 car,https://www.realtor.com/realestateandhomes-detail/1900-Danbrook-Dr-Unit-1527_Sacramento_CA_95835_M21608-40565,
1603,House for Sale,"$259,995",7557 Waterwillow Dr,"Sacramento, CA 95828",3 bed,3 bath,"1,557 sqft","3,376 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/7557-Waterwillow-Dr_Sacramento_CA_95828_M11764-50330,
1604,House for Sale,"$320,000",4290 Millport Way,"Sacramento, CA 95823",3 bed,2 bath,"1,584 sqft","6,970 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/4290-Millport-Way_Sacramento_CA_95823_M26660-73626,
1605,House for Sale,"$225,000",4950 Siskiyou Ave,"Sacramento, CA 95820",2 bed,1 bath,702 sqft,"5,663 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/4950-Siskiyou-Ave_Sacramento_CA_95820_M18093-23311,
1606,House for Sale,"$249,978",9960 Lincoln Village Dr,"Sacramento, CA 95827",3 bed,2 bath,"1,164 sqft","6,970 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/9960-Lincoln-Village-Dr_Sacramento_CA_95827_M13360-11724,
1607,House for Sale,"$546,000",3425 2nd Ave,"Sacramento, CA 95817",3 bed,2.5 bath,"1,543 sqft","2,113 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/3425-2nd-Ave_Sacramento_CA_95817_M24274-82416,
1608,Condo/Townhome,"$165,000",1019 Dornajo Way Apt 141,"Sacramento, CA 95825",2 bed,2 bath,957 sqft,NOT LISTED,yes car,https://www.realtor.com/realestateandhomes-detail/1019-Dornajo-Way-Apt-141_Sacramento_CA_95825_M20945-52002,
1609,House for Sale,"$314,000",925 Brierglen Way,"Sacramento, CA 95834",4 bed,2.5 bath,"1,419 sqft","4,356 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/925-Brierglen-Way_Sacramento_CA_95834_M17764-90090,
1610,House for Sale,"$300,000",7380 21st St,"Sacramento, CA 95822",4 bed,2.5 bath,"1,586 sqft","8,276 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/7380-21st-St_Sacramento_CA_95822_M23295-81762,
1611,House for Sale,"$310,000",5633 Revelstok Dr,"Sacramento, CA 95842",4 bed,2 bath,"1,269 sqft","6,098 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/5633-Revelstok-Dr_Sacramento_CA_95842_M27947-30181,
1612,House for Sale,"$327,000",3561 Imperial Way,"Sacramento, CA 95826",3 bed,2 bath,"1,472 sqft","6,970 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/3561-Imperial-Way_Sacramento_CA_95826_M25089-68636,
1613,Condo/Townhome,"$306,900",5635 Whimsical Ln Unit 85,"Sacramento, CA 95835",3 bed,3 bath,"1,360 sqft",NOT LISTED,2 car,https://www.realtor.com/realestateandhomes-detail/5635-Whimsical-Ln-85_Sacramento_CA_95835_M17788-61841,
1614,House for Sale,"$300,000",2360 American Ave,"Sacramento, CA 95833",3 bed,2 bath,"1,206 sqft","5,663 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/2360-American-Ave_Sacramento_CA_95833_M12522-95970,
1615,House for Sale,"$307,775",2020 Delgado Way,"Sacramento, CA 95833",3 bed,2 bath,"1,353 sqft","5,950 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/2020-Delgado-Way_Sacramento_CA_95833_M13863-27044,
1616,House for Sale,"$349,999",2775 Wissemann Dr,"Sacramento, CA 95826",3 bed,2 bath,"1,327 sqft","5,798 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/2775-Wissemann-Dr_Sacramento_CA_95826_M28657-18653,
1617,House for Sale,"$289,900",7638 22nd St,"Sacramento, CA 95832",4 bed,2 bath,"1,329 sqft","7,841 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/7638-22nd-St_Sacramento_CA_95832_M11898-28804,
1618,House for Sale,"$359,000",6721 Gold Run Ave,"Sacramento, CA 95842",5 bed,2 bath,"1,605 sqft","7,841 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/6721-Gold-Run-Ave_Sacramento_CA_95842_M28736-22181,
1619,House for Sale,"$425,000",3217 Eastwood Rd,"Sacramento, CA 95821",4 bed,1.5 bath,"1,447 sqft","6,534 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/3217-Eastwood-Rd_Sacramento_CA_95821_M22341-90396,
1620,House for Sale,"$365,000",7441 Palmer House Dr,"Sacramento, CA 95828",5 bed,3 bath,"2,119 sqft","6,098 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/7441-Palmer-House-Dr_Sacramento_CA_95828_M10310-38623,
1621,House for Sale,"$349,000",3100 64th St,"Sacramento, CA 95820",2 bed,1 bath,739 sqft,"8,712 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/3100-64th-St_Sacramento_CA_95820_M20757-49640,
1622,House for Sale,"$345,000",2533 Clearlake Way,"Sacramento, CA 95826",3 bed,2 bath,"1,150 sqft","5,911 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/2533-Clearlake-Way_Sacramento_CA_95826_M25240-27226,
1623,Multi-Family Home,"$599,000",1201 V St,"Sacramento, CA 95818",4 bed,2.5+ bath,"2,400 sqft","1,742 sqft lot",NOT LISTED,https://www.realtor.com/realestateandhomes-detail/1201-V-St_Sacramento_CA_95818_M24365-95027,
1624,House for Sale,"$264,000",1381 Diamond Ave,"Sacramento, CA 95815",3 bed,1 bath,"1,172 sqft","6,098 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/1381-Diamond-Ave_Sacramento_CA_95815_M19211-93744,
1625,House for Sale,"$449,990",2496 Amelia Earhart Ave,"Sacramento, CA 95834",4 bed,3 bath,"2,325 sqft","4,029 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/2496-Amelia-Earhart-A_Sacramento_CA_95834_M22599-02548,NEW CONSTRUCTION
1626,Land,"$465,000",2489 Garden Hwy,"Sacramento, CA 95833",NOT LISTED,NOT LISTED,NOT LISTED,0.92 acres lot,yes car,https://www.realtor.com/realestateandhomes-detail/Garden-Hwy_Sacramento_CA_95833_M16232-39664,
1627,Land,"$1,575,000",7359 Bradshaw Rd,"Sacramento, CA 95829",NOT LISTED,NOT LISTED,NOT LISTED,10.0 acres lot,NOT LISTED,https://www.realtor.com/realestateandhomes-detail/7359-Bradshaw-Rd_Sacramento_CA_95829_M12590-94819,
1628,House for Sale,"$2,095,000",2620 Huntington Rd,"Sacramento, CA 95864",4 bed,5 bath,"4,695 sqft",0.55 acres lot,2 car,https://www.realtor.com/realestateandhomes-detail/2620-Huntington-Rd_Sacramento_CA_95864_M24402-96950,
1629,House for Sale,"$3,750,000",4021 Riding Club Ln,"Sacramento, CA 95864",5 bed,5.5+ bath,"6,805 sqft",1.06 acres lot,4 car,https://www.realtor.com/realestateandhomes-detail/4021-Riding-Club-Ln_Sacramento_CA_95864_M16141-11006,
1630,House for Sale,"$1,250,000",500 Morse Ave,"Sacramento, CA 95864",5 bed,5 bath,"4,462 sqft",0.73 acres lot,3 car,https://www.realtor.com/realestateandhomes-detail/500-Morse-Ave_Sacramento_CA_95864_M25100-21529,
1631,House for Sale,"$395,000",1922 Mammoth Way,"Sacramento, CA 95834",4 bed,3 bath,"2,320 sqft","2,936 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/1922-Mammoth-Way_Sacramento_CA_95834_M25598-19007,
1632,House for Sale,"$750,000",1002 S Beach Dr,"Sacramento, CA 95831",4 bed,3 bath,"3,277 sqft","9,148 sqft lot",3 car,https://www.realtor.com/realestateandhomes-detail/1002-S-Beach-Dr_Sacramento_CA_95831_M13503-81857,
1633,House for Sale,"$650,000",6515 Rancho Adobe Dr,"Sacramento, CA 95828",8 bed,5 bath,"4,065 sqft",0.36 acres lot,4 car,https://www.realtor.com/realestateandhomes-detail/6515-Rancho-Adobe-Dr_Sacramento_CA_95828_M19188-73810,
1634,House for Sale,"$575,000",5136 Isador Ln,"Sacramento, CA 95835",4 bed,3 bath,"3,107 sqft","6,321 sqft lot",3 car,https://www.realtor.com/realestateandhomes-detail/5136-Isador-Ln_Sacramento_CA_95835_M19734-75936,
1635,House for Sale,"$1,375,000",2827 Garden Hwy,"Sacramento, CA 95833",3 bed,3 bath,"3,196 sqft",1.19 acres lot,6 car,https://www.realtor.com/realestateandhomes-detail/2827-Garden-Hwy_Sacramento_CA_95833_M12422-19644,
1636,House for Sale,"$358,950",4733 F Pkwy,"Sacramento, CA 95823",3 bed,3 bath,"2,323 sqft","7,841 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/4733-F-Pkwy_Sacramento_CA_95823_M27635-06396,
1637,House for Sale,"$338,000",3447 Wildwind Ct,"Sacramento, CA 95827",3 bed,2.5 bath,"1,565 sqft","5,419 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/3447-Wildwind-Ct_Sacramento_CA_95827_M28320-30241,
1638,House for Sale,"$389,000",5740 Palm Ave,"Sacramento, CA 95841",3 bed,2 bath,"2,226 sqft",0.36 acres lot,4 car,https://www.realtor.com/realestateandhomes-detail/5740-Palm-Ave_Sacramento_CA_95841_M20155-62483,
1639,House for Sale,"$319,000",3817 Franklin Blvd,"Sacramento, CA 95820",3 bed,2 bath,"1,410 sqft","6,098 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/3817-Franklin-Blvd_Sacramento_CA_95820_M20915-87666,
1640,House for Sale,"$399,950",5705 Overleaf Way,"Sacramento, CA 95835",4 bed,2 bath,"1,910 sqft","5,933 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/5705-Overleaf-Way_Sacramento_CA_95835_M23550-85178?ex=CA2433735712,
1641,House for Sale,"$175,000",610 Eleanor Ave,"Sacramento, CA 95815",2 bed,1 bath,752 sqft,"5,663 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/610-Eleanor-Ave_Sacramento_CA_95815_M28826-92326,
1642,House for Sale,"$379,900",5931 Laguna Ranch Cir,"Sacramento, CA 95823",4 bed,2.5 bath,"1,935 sqft",0.25 acres lot,3 car,https://www.realtor.com/realestateandhomes-detail/5931-Laguna-Ranch-Cir_Sacramento_CA_95823_M21976-40730,
1643,House for Sale,"$414,900",5879 Lorraine Ct,"Sacramento, CA 95817",2 bed,1 bath,"1,117 sqft","5,266 sqft lot",NOT LISTED,https://www.realtor.com/realestateandhomes-detail/5879-Lorraine-Ct_Sacramento_CA_95817_M25820-06735,
1644,House for Sale,"$222,000",NOT LISTED,"Sacramento, CA 95833",3 bed,1 bath,"1,194 sqft",0.24 acres lot,NOT LISTED,https://www.realtor.com/realestateandhomes-detail/Sacramento_CA_95833_M27740-24838,
1645,Condo/Townhome,"$183,000",3715 Tallyho Dr Apt 69,"Sacramento, CA 95826",2 bed,1 bath,825 sqft,NOT LISTED,NOT LISTED,https://www.realtor.com/realestateandhomes-detail/3715-Tallyho-Dr-Apt-69_Sacramento_CA_95826_M22419-22849,
1646,House for Sale,"$370,000",6025 Machado Way,"Sacramento, CA 95822",3 bed,2 bath,"1,957 sqft","8,276 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/6025-Machado-Way_Sacramento_CA_95822_M26035-35077,
1647,House for Sale,"$319,900",3458 Jola Cir,"Sacramento, CA 95832",4 bed,2 bath,"2,390 sqft","6,098 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/3458-Jola-Cir_Sacramento_CA_95832_M12559-38586,
1648,Condo/Townhome,"$284,900",1900 Danbrook Dr Unit 922,"Sacramento, CA 95835",2 bed,2 bath,"1,338 sqft",NOT LISTED,1 car,https://www.realtor.com/realestateandhomes-detail/1900-Danbrook-Dr-Unit-922_Sacramento_CA_95835_M13338-49993,
1649,House for Sale,"$199,500",417 Eleanor Ave,"Sacramento, CA 95815",2 bed,1 bath,998 sqft,"5,663 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/417-Eleanor-Ave_Sacramento_CA_95815_M28492-64776,
1650,House for Sale,"$369,900",5720 Beadnell Way,"Sacramento, CA 95835",3 bed,2 bath,"1,358 sqft","6,050 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/5720-Beadnell-Way_Sacramento_CA_95835_M20730-57412,
1651,House for Sale,"$249,900",7507 Andrewsarah Ct,"Sacramento, CA 95828",2 bed,2.5 bath,"1,215 sqft","6,321 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/7507-Andrewsarah-Ct_Sacramento_CA_95828_M11280-04605,
1652,House for Sale,"$499,900",5324 L St,"Sacramento, CA 95819",3 bed,1 bath,"1,034 sqft","4,569 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/5324-L-St_Sacramento_CA_95819_M23344-49079,
1653,House for Sale,"$245,000",2571 Louisiana St,"Sacramento, CA 95821",2 bed,1 bath,"1,087 sqft","9,121 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/2571-Louisiana-St_Sacramento_CA_95821_M11154-18163,
1654,House for Sale,"$373,000",3709 Ardmore Rd,"Sacramento, CA 95821",4 bed,1.5 bath,"1,335 sqft","7,841 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/3709-Ardmore-Rd_Sacramento_CA_95821_M22672-45287,
1655,House for Sale,"$359,000",5140 Bassett Way,"Sacramento, CA 95823",3 bed,2.5 bath,"1,728 sqft","5,737 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/5140-Bassett-Way_Sacramento_CA_95823_M22091-18640,
1656,House for Sale,"$370,000",9089 Caldera Way,"Sacramento, CA 95826",3 bed,3 bath,"2,108 sqft","6,194 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/9089-Caldera-Way_Sacramento_CA_95826_M12898-39221,
1657,House for Sale,"$360,000",3836 Robie Lee Way,"Sacramento, CA 95821",3 bed,2 bath,"1,820 sqft","7,405 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/3836-Robie-Lee-Way_Sacramento_CA_95821_M22530-84229,
1658,House for Sale,"$450,000",5074 12th Ave,"Sacramento, CA 95820",3 bed,2 bath,"1,008 sqft",0.32 acres lot,2 car,https://www.realtor.com/realestateandhomes-detail/5074-12th-Ave_Sacramento_CA_95820_M11369-33910,
1659,House for Sale,"$355,000",3943 Streamline St,"Sacramento, CA 95834",3 bed,2.5 bath,"1,698 sqft","1,960 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/3943-Streamline-St_Sacramento_CA_95834_M22458-90554,
1660,Condo/Townhome,"$479,000",1828 K St Unit 3,"Sacramento, CA 95811",3 bed,2 bath,"1,325 sqft",NOT LISTED,1 car,https://www.realtor.com/realestateandhomes-detail/1828-K-St-3_Sacramento_CA_95811_M24675-88978,
1661,House for Sale,"$275,000",622 Norwich Ct,"Sacramento, CA 95833",3 bed,1 bath,952 sqft,"6,098 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/622-Norwich-Ct_Sacramento_CA_95833_M27386-22193,
1662,House for Sale,"$279,900",4510 40th Ave,"Sacramento, CA 95824",3 bed,2 bath,"1,205 sqft","5,227 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/4510-40th-Ave_Sacramento_CA_95824_M16798-12788,
1663,House for Sale,"$269,000",4601 Don Julio Blvd,"Sacramento, CA 95842",3 bed,2 bath,960 sqft,"6,970 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/4601-Don-Julio-Blvd_Sacramento_CA_95842_M25847-73861,
1664,House for Sale,"$240,000",7925 33rd Ave,"Sacramento, CA 95824",3 bed,1 bath,"1,008 sqft","5,663 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/7925-33rd-Ave_Sacramento_CA_95824_M23769-95413,
1665,House for Sale,"$425,000",The Mill at Broadway Penthomes Residence One,"Sacramento, CA 95818",2 bed,2 bath,"1,110 sqft",NOT LISTED,1 car,https://www.realtor.com/realestateandhomes-detail/Penthomes-Residence-One_The-Mill-at-Broadway_439-Tailoff-Ln_Sacramento_CA_95818_P412802427148,NEW CONSTRUCTION
1666,Multi-Family Home,"$420,000",2617-2619 52nd Ave,"Sacramento, CA 95822",6 bed,2 bath,"1,818 sqft",0.23 acres lot,yes car,https://www.realtor.com/realestateandhomes-detail/2617-2619-52nd-Ave_Sacramento_CA_95822_M23519-78561,
1667,Multi-Family Home,"$1,100,000",724 Lampasas Ave,"Sacramento, CA 95815",4 bed,4 bath,"2,200 sqft",0.23 acres lot,yes car,https://www.realtor.com/realestateandhomes-detail/724-Lampasas-Ave_Sacramento_CA_95815_M11482-05955,
1668,House for Sale,"$351,490",Verano at Parkebridge Plan 1932,"Sacramento, CA 95834",4 bed,3 bath,"1,932 sqft",NOT LISTED,2 car,https://www.realtor.com/realestateandhomes-detail/Plan-1932_Verano-at-Parkebridge_3811-Sunsetparke-Way_Sacramento_CA_95834_P413902413955,NEW CONSTRUCTION
1669,House for Sale,"$333,200",Elverta Park Quail from The Trails Collection,"Sacramento, CA 95843",3 bed,2 bath,"1,287 sqft",NOT LISTED,2 car,https://www.realtor.com/realestateandhomes-detail/Quail-from-The-Trails-Collection_Elverta-Park_2790-Napoleon-Way_Sacramento_CA_95843_P412283688213,NEW CONSTRUCTION
1670,House for Sale,"$410,450",Elverta Park Penelope from The Arbors Collection,"Sacramento, CA 95843",4 bed,3 bath,"2,061 sqft",NOT LISTED,2 car,https://www.realtor.com/realestateandhomes-detail/Penelope-from-The-Arbors-Collection_Elverta-Park_2790-Napoleon-Way_Sacramento_CA_95843_P412378946185,NEW CONSTRUCTION
1671,House for Sale,"$367,490",Verano at Parkebridge Plan 1811,"Sacramento, CA 95834",4 bed,2.5 bath,"1,811 sqft",NOT LISTED,2 car,https://www.realtor.com/realestateandhomes-detail/Plan-1811_Verano-at-Parkebridge_3811-Sunsetparke-Way_Sacramento_CA_95834_P413847310202,NEW CONSTRUCTION
1672,House for Sale,"$684,900",2509 8th Ave,"Sacramento, CA 95818",3 bed,2 bath,"1,720 sqft","4,792 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/2509-8th-Ave_Sacramento_CA_95818_M29222-07524,
1673,House for Sale,"$1,399,000",1433 El Tejon Way,"Sacramento, CA 95864",5 bed,4 bath,"4,100 sqft",0.26 acres lot,2 car,https://www.realtor.com/realestateandhomes-detail/1433-El-Tejon-Way_Sacramento_CA_95864_M22325-02056,
1674,House for Sale,"$349,000",4239 55th St,"Sacramento, CA 95820",2 bed,1 bath,952 sqft,"6,098 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/4239-55th-St_Sacramento_CA_95820_M17245-43292,
1675,House for Sale,"$515,000",2709 Rockaway Ln,"Sacramento, CA 95835",2 bed,2 bath,"2,195 sqft","7,418 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/2709-Rockaway-Ln_Sacramento_CA_95835_M13541-07441,
1676,House for Sale,"$212,900",1950 Verano St,"Sacramento, CA 95838",2 bed,1 bath,"1,023 sqft","8,712 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/1950-Verano-St_Sacramento_CA_95838_M20459-60120,
1677,House for Sale,"$555,000",41 Camrosa Pl,"Sacramento, CA 95835",4 bed,3 bath,"2,830 sqft","7,728 sqft lot",3 car,https://www.realtor.com/realestateandhomes-detail/41-Camrosa-Pl_Sacramento_CA_95835_M29135-96859,
