,Property Type,Price,Address,Locality,Beds,Baths,Home Size,Lot Size,Garage,Link,Construction
462,House for Sale,"$549,000",2769 Muir Way,"Sacramento, CA 95818",3 bed,1 bath,"1,373 sqft","5,663 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/2769-Muir-Way_Sacramento_CA_95818_M24427-81173,
463,House for Sale,"$225,000",4301 47th St,"Sacramento, CA 95820",2 bed,2 bath,"1,016 sqft","5,227 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/4301-47th-St_Sacramento_CA_95820_M16324-59148,
464,House for Sale,"$335,000",3733 West Way,"Sacramento, CA 95821",3 bed,1 bath,"1,048 sqft",0.23 acres lot,2 car,https://www.realtor.com/realestateandhomes-detail/3733-West-Way_Sacramento_CA_95821_M21955-45613,
465,House for Sale,"$359,000",9049 Brevard Dr,"Sacramento, CA 95829",4 bed,2 bath,"1,405 sqft","6,199 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/9049-Brevard-Dr_Sacramento_CA_95829_M14941-60160,
466,Condo/Townhome,"$109,000",5748 Hillsdale Blvd,"Sacramento, CA 95842",2 bed,1.5 bath,933 sqft,658 sqft lot,yes car,https://www.realtor.com/realestateandhomes-detail/5748-Hillsdale-Blvd_Sacramento_CA_95842_M27092-33396,
467,House for Sale,"$369,900",939 Pinedale Ave,"Sacramento, CA 95838",3 bed,2 bath,"1,607 sqft","5,358 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/939-Pinedale-Ave_Sacramento_CA_95838_M22715-66788,NEW CONSTRUCTION
468,Condo/Townhome,"$159,000",9020 Montoya St Apt 4,"Sacramento, CA 95826",2 bed,1 bath,924 sqft,NOT LISTED,1 car,https://www.realtor.com/realestateandhomes-detail/9020-Montoya-St-Apt-4_Sacramento_CA_95826_M21089-67716?ex=CA2529609566,
469,House for Sale,"$599,000",800 Swanston Dr,"Sacramento, CA 95818",3 bed,2 bath,"1,436 sqft","7,405 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/800-Swanston-Dr_Sacramento_CA_95818_M27428-46542,
470,House for Sale,"$399,900",4800 Taylor St,"Sacramento, CA 95838",5 bed,3 bath,"2,198 sqft","4,356 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/4800-Taylor-St_Sacramento_CA_95838_M17700-96334,NEW CONSTRUCTION
471,House for Sale,"$233,000",7479 50th Ave,"Sacramento, CA 95828",3 bed,2 bath,"1,058 sqft","3,485 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/7479-50th-Ave_Sacramento_CA_95828_M18930-85777,
472,Condo/Townhome,"$250,000",8809 Salmon Falls Dr Unit B,"Sacramento, CA 95826",3 bed,1 bath,"1,191 sqft",862 sqft lot,yes car,https://www.realtor.com/realestateandhomes-detail/8809-Salmon-Falls-Dr-Unit-B_Sacramento_CA_95826_M29236-67193,
473,House for Sale,"$219,000",5604 Bradd Way,"Sacramento, CA 95822",2 bed,1 bath,833 sqft,"5,149 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/5604-Bradd-Way_Sacramento_CA_95822_M21761-69249,
474,House for Sale,"$259,900",7241 Vanita Way,"Sacramento, CA 95828",4 bed,2 bath,"1,176 sqft","6,534 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/7241-Vanita-Way_Sacramento_CA_95828_M29774-87438,
475,Multi-Family Home,"$450,000",6062 Garfield Ave,"Sacramento, CA 95841",6 bed,2.5+ bath,"2,596 sqft","9,500 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/6062-Garfield-Ave_Sacramento_CA_95841_M26716-03507,
476,House for Sale,"$310,000",4991 Priscilla Ln,"Sacramento, CA 95820",3 bed,1 bath,925 sqft,"4,792 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/4991-Priscilla-Ln_Sacramento_CA_95820_M19364-00175,
477,House for Sale,"$365,000",5612 Rickey Dr,"Sacramento, CA 95822",3 bed,1 bath,"1,144 sqft","6,970 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/5612-Rickey-Dr_Sacramento_CA_95822_M21949-88550,
478,House for Sale,"$309,950",4413 Marconi Ave,"Sacramento, CA 95821",3 bed,1.5 bath,"1,177 sqft",0.24 acres lot,2 car,https://www.realtor.com/realestateandhomes-detail/4413-Marconi-Ave_Sacramento_CA_95821_M23506-38671,
479,Condo/Townhome,"$115,000",5830 Walerga Rd Apt 3,"Sacramento, CA 95842",2 bed,1 bath,840 sqft,"2,039 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/5830-Walerga-Rd-Apt-3_Sacramento_CA_95842_M11551-92202,
480,House for Sale,"$374,900",607 Main Ave,"Sacramento, CA 95838",4 bed,2.5 bath,"1,968 sqft","3,920 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/607-Main-Ave_Sacramento_CA_95838_M15362-12651,NEW CONSTRUCTION
481,Multi-Family Home,"$2,250,000",2819 E St,"Sacramento, CA 95816",4 bed,4 bath,"2,400 sqft","6,534 sqft lot",NOT LISTED,https://www.realtor.com/realestateandhomes-detail/2819-E-St_Sacramento_CA_95816_M18866-24248,
482,Condo/Townhome,"$469,900",500 N St Unit 502,"Sacramento, CA 95814",2 bed,2 bath,"1,261 sqft",NOT LISTED,1 car,https://www.realtor.com/realestateandhomes-detail/500-N-St_Sacramento_CA_95814_M26627-19720,
483,Land,"$779,000",4339 Lantzy Ct,"Sacramento, CA 95864",NOT LISTED,NOT LISTED,NOT LISTED,0.65 acres lot,NOT LISTED,https://www.realtor.com/realestateandhomes-detail/4339-Lantzy-Ct_Sacramento_CA_95864_M17651-83558?ex=CA2529989681,
